player_id,player_name,player_firstname,player_lastname,player_age,player_birth_date,player_nationality,player_height,player_weight
54,Diego Costa,Diego,da Silva Costa,36,1988-10-07,Spain,188,83
178,Lucas Moura,Lucas,Rodrigues Moura da Silva,32,1992-08-13,Brazil,172,72
297,A. Oxlade-Chamberlain,Alexander Mark David,Oxlade-Chamberlain,31,1993-08-15,England,180,70
888,P. Jones,Phil Anthony,Jones,31,1992-02-21,England,180,71
900,J. Lingard,Jesse Ellis,Lingard,32,1992-12-15,England,175,62
2473,M. Lanzini,Manuel,Lanzini,31,1993-02-15,Argentina,167,59
2677,João Moutinho,João Filipe,Iria Santos Moutinho,38,1986-09-08,Portugal,170,61
18753,Adama Traoré,Adama,Traoré Diarra,28,1996-01-25,Spain,178,86
18762,T. Davies,Thomas,Davies,26,1998-06-30,England,180,70
18849,J. McArthur,James,McFarlane McArthur,36,1987-10-07,Scotland,178,75
18852,L. Milivojević,Luka,Milivojević,33,1991-04-07,Serbia,186,80
18854,A. Townsend,Andros Darryl,Townsend,33,1991-07-16,England,181,77
18858,A. Begović,Asmir,Begović,37,1987-06-20,Bosnia and Herzegovina,199,101
18878,J. Stanislas,Felix Junior,Stanislas,34,1989-11-26,England,183,76
18891,C. Clark,Ciaran,Clark,34,1989-09-26,Republic of Ireland,185,88
19174,J. Steer,Jed John,Steer,32,1992-09-23,England,183,80
19299,J. Colback,Jack Raymond,Colback,35,1989-10-24,England,177,77
19842,L. Taylor,Lyle James Alfred,Taylor,34,1990-03-29,Montserrat,188,75
130419,M. Longstaff,Matthew Ben,Longstaff,24,2000-03-21,England,170,70
181822,E. Wady,Ethan James,Wady,21,2002-01-23,USA,0,0
