team_id,team_name,team_country,venue_id,venue_name,venue_city,venue_capacity
33,Manchester United,England,556,Old Trafford,Manchester,76212
34,Newcastle,England,562,St. James' Park,Newcastle upon Tyne,52758
35,Bournemouth,England,504,Vitality Stadium,"Bournemouth, Dorset",12000
36,Fulham,England,535,Craven Cottage,London,25700
39,Wolves,England,600,Molineux Stadium,"Wolverhampton, West Midlands",34624
40,Liverpool,England,550,Anfield,Liverpool,55212
42,Arsenal,England,494,Emirates Stadium,London,60383
44,Burnley,England,512,Turf Moor,Burnley,22546
45,Everton,England,8560,Goodison Park,Liverpool,40569
47,Tottenham,England,593,Tottenham Hotspur Stadium,London,62850
48,West Ham,England,598,London Stadium,London,62500
49,Chelsea,England,519,Stamford Bridge,London,41841
50,Manchester City,England,555,Etihad Stadium,Manchester,55097
51,Brighton,England,508,The American Express Community Stadium,"Falmer, East Sussex",31872
52,Crystal Palace,England,525,Selhurst Park,London,26309
55,Brentford,England,10503,Gtech Community Stadium,"Brentford, Middlesex",17250
62,Sheffield Utd,England,581,Bramall Lane,Sheffield,32702
65,Nottingham Forest,England,566,The City Ground,"Nottingham, Nottinghamshire",30576
66,Aston Villa,England,495,Villa Park,Birmingham,42788
1359,Luton,England,551,Kenilworth Road,"Luton, Bedfordshire",11500
