player_id,player_name,player_firstname,player_lastname,player_age,team_id,player_birth_date,player_birth_place,player_birth_country,player_nationality,player_height,player_weight
186,Son Heung-Min,Heung-Min,Son,32,47,1992-07-08,Chuncheon,Korea Republic,Korea Republic,178,86
306,Mohamed Salah,Mohamed,Salah Hamed Mahrous Ghaly,32,40,1992-06-15,Muḥāfaẓat al Gharbiyya,Egypt,Egypt,170,61
631,P. Foden,Philip Walter,Foden,24,50,2000-05-28,Stockport,England,England,175,62
978,K. Havertz,Kai Lukas,Havertz,25,42,1999-06-11,Aachen,Germany,Germany,183,76
1100,E. Haaland,Erling,Braut Haaland,24,50,2000-07-21,Leeds,England,Norway,188,83
1165,Matheus Cunha,Matheus Santos,Carneiro da Cunha,25,39,1999-05-27,João Pessoa,Brazil,Brazil,177,77
1460,B. Saka,Bukayo Ayoyinka Temidayo,Saka,23,42,2001-09-05,London,England,England,186,80
1946,L. Trossard,Leandro,Trossard,30,42,1994-12-04,Waterschei,Belgium,Belgium,183,80
2413,Richarlison,Richarlison,de Andrade,27,47,1997-05-10,Nova Venécia,Brazil,Brazil,0,0
2864,A. Isak,Alexander,Isak,25,34,1999-09-21,Stockholm,Sweden,Sweden,180,70
18883,D. Solanke,Dominic Ayodele,Solanke-Mitchell,27,35,1997-09-14,Reading,England,England,167,59
18931,C. Wood,Christopher Grant,Wood,33,65,1991-12-07,Auckland,New Zealand,New Zealand,199,101
19366,O. Watkins,Oliver George Arthur,Watkins,29,66,1995-12-30,Torbay,England,England,180,71
19428,J. Bowen,Jarrod,Bowen,28,48,1996-12-20,Leominster,England,England,180,70
20649,Y. Wissa,Yoane,Wissa,28,55,1996-09-03,Epinay-sous-Sénart,France,Congo DR,185,88
24888,Hwang Hee-Chan,Hee-Chan,Hwang,28,39,1996-01-26,Chuncheon,Korea Republic,Korea Republic,188,75
25927,J. Mateta,Jean-Philippe,Mateta,27,52,1997-06-28,Sevran,France,France,178,75
51617,D. Núñez,Darwin Gabriel,Núñez Ribeiro,25,40,1999-06-24,Artigas,Uruguay,Uruguay,170,70
152982,C. Palmer,Cole Jermaine,Palmer,22,49,2002-05-06,Manchester,England,England,172,72
283058,N. Jackson,Nicolas,Jackson,23,49,2001-06-20,Banjul,Gambia,Senegal,181,77
